日期,天气,最低温,最高温,风向风力,是否为恶劣天气
2019年02月18日广州天气预报,大雨 /大雨,17℃ , 20℃,东南风 3-4级 ,是
2019年02月19日广州天气预报,阵雨 /阵雨,16℃ , 21℃,东北风 3-4级 ,否
2019年02月20日广州天气预报,阵雨 /小到中雨,17℃ , 25℃,无持续风向 1-2级 ,是
2019年02月21日广州天气预报,小到中雨 /多云,17℃ , 25℃,无持续风向 1-2级 ,是
2019年02月22日广州天气预报,阴 /小到中雨,12℃ , 20℃,北风 3-4级 ,是
2019年02月23日广州天气预报,小到中雨 /阵雨,11℃ , 15℃,无持续风向 1-2级 ,是
2019年02月24日广州天气预报,阴 /多云,12℃ , 16℃,无持续风向 1-2级 ,否
2019年02月25日广州天气预报,阴 /小雨,12℃ , 19℃,无持续风向 1-2级 ,否
2019年02月26日广州天气预报,小雨 /小雨,13℃ , 17℃,无持续风向 1-2级 ,否
2019年02月27日广州天气预报,阴 /阴,17℃ , 22℃,无持续风向 1-2级 ,否
2019年02月28日广州天气预报,阴 /阴,18℃ , 23℃,无持续风向 1-2级 ,否
2019年03月01日广州天气预报,多云 /多云,18℃ , 24℃,南风 3-4级 ,否
2019年03月02日广州天气预报,多云 /中雨,16℃ , 26℃,南风 3-4级 ,是
2019年03月03日广州天气预报,小雨 /多云,14℃ , 21℃,无持续风向 1-2级 ,否
2019年03月04日广州天气预报,小雨 /中雨,15℃ , 23℃,东南风 1-2级 ,是
2019年03月05日广州天气预报,阵雨 /中雨,17℃ , 22℃,无持续风向 1-2级 ,是
2019年03月06日广州天气预报,中到大雨 /大雨,13℃ , 21℃,无持续风向 1-2级 ,是
2019年03月07日广州天气预报,中雨 /中到大雨,13℃ , 16℃,东北风 3-4级 ,是
2019年03月08日广州天气预报,中雨 /小到中雨,13℃ , 17℃,无持续风向 1-2级 ,是
2019年03月09日广州天气预报,大雨 /中雨,13℃ , 17℃,北风 3-4级 ,是
2019年03月10日广州天气预报,小雨 /多云,12℃ , 17℃,无持续风向 1-2级 ,否
2019年03月11日广州天气预报,多云 /晴,14℃ , 20℃,无持续风向 1-2级 ,否
2019年03月12日广州天气预报,晴 /多云,15℃ , 25℃,无持续风向 1-2级 ,否
2019年03月13日广州天气预报,多云 /中雨,14℃ , 24℃,无持续风向 1-2级 ,是
2019年03月14日广州天气预报,阵雨 /小雨,16℃ , 21℃,无持续风向 1-2级 ,否
2019年03月15日广州天气预报,阴 /多云,14℃ , 20℃,无持续风向 1-2级 ,否
2019年03月16日广州天气预报,多云 /多云,17℃ , 24℃,无持续风向 1-2级 ,否
2019年03月17日广州天气预报,多云 /小雨,18℃ , 24℃,无持续风向 1-2级 ,否
2019年03月18日广州天气预报,阴 /阴,20℃ , 26℃,无持续风向 1-2级 ,否
2019年03月19日广州天气预报,多云 /多云,19℃ , 25℃,无持续风向 1-2级 ,否
2019年03月20日广州天气预报,阵雨 /阵雨,22℃ , 28℃,无持续风向 1-2级 ,否
2019年03月21日广州天气预报,多云 /雷阵雨,20℃ , 28℃,无持续风向 1-2级 ,是
2019年03月22日广州天气预报,雷阵雨 /中雨,15℃ , 27℃,无持续风向 1-2级 ,是
2019年03月23日广州天气预报,小雨 /小雨,14℃ , 18℃,北风 3-4级 ,否
2019年03月24日广州天气预报,中雨 /中雨,12℃ , 17℃,无持续风向 1-2级 ,是
2019年03月25日广州天气预报,小雨 /阴,14℃ , 19℃,无持续风向 1-2级 ,否
2019年03月26日广州天气预报,多云 /多云,18℃ , 26℃,无持续风向 1-2级 ,否
2019年03月27日广州天气预报,多云 /阴,20℃ , 26℃,无持续风向 1-2级 ,否
2019年03月28日广州天气预报,多云 /阴,21℃ , 27℃,无持续风向 1-2级 ,否
2019年03月29日广州天气预报,中雨 /雷阵雨,20℃ , 27℃,无持续风向 1-2级 ,是
2019年03月30日广州天气预报,多云 /阵雨,20℃ , 28℃,无持续风向 1-2级 ,否
2019年03月31日广州天气预报,雷阵雨 /阵雨,19℃ , 27℃,无持续风向 1-2级 ,是
2019年04月01日广州天气预报,阵雨 /多云,16℃ , 21℃,无持续风向 1-2级 ,否
2019年04月02日广州天气预报,阴 /多云,18℃ , 25℃,东南风 3-4级 ,否
2019年04月03日广州天气预报,多云 /雷阵雨,20℃ , 27℃,无持续风向 1-2级 ,是
2019年04月04日广州天气预报,阵雨 /阵雨,19℃ , 25℃,无持续风向 1-2级 ,否
2019年04月05日广州天气预报,多云 /多云,19℃ , 27℃,无持续风向 1-2级 ,否
2019年04月06日广州天气预报,多云 /多云,21℃ , 28℃,无持续风向 1-2级 ,否
2019年04月07日广州天气预报,多云 /多云,22℃ , 29℃,无持续风向 1-2级 ,否
2019年04月08日广州天气预报,多云 /多云,23℃ , 30℃,无持续风向 1-2级 ,否
2019年04月09日广州天气预报,多云 /多云,24℃ , 30℃,无持续风向 1-2级 ,否
2019年04月10日广州天气预报,雷阵雨 /雷阵雨,22℃ , 30℃,无持续风向 1-2级 ,是
2019年04月11日广州天气预报,中雨 /雷阵雨,20℃ , 29℃,无持续风向 1-2级 ,是
2019年04月12日广州天气预报,大到暴雨 /大到暴雨,16℃ , 21℃,无持续风向 1-2级 ,是
2019年04月13日广州天气预报,大到暴雨 /中到大雨,19℃ , 23℃,无持续风向 1-2级 ,是
2019年04月14日广州天气预报,中雨 /多云,19℃ , 25℃,无持续风向 1-2级 ,是
2019年04月15日广州天气预报,阵雨 /大雨,19℃ , 24℃,无持续风向 1-2级 ,是
2019年04月16日广州天气预报,大雨 /阴,18℃ , 22℃,无持续风向 1-2级 ,是
2019年04月17日广州天气预报,多云 /多云,21℃ , 27℃,无持续风向 1-2级 ,否
2019年04月18日广州天气预报,大雨 /暴雨,22℃ , 25℃,无持续风向 1-2级 ,是
2019年04月19日广州天气预报,大雨 /雷阵雨,20℃ , 25℃,无持续风向 1-2级 ,是
2019年04月20日广州天气预报,大雨 /雷阵雨,20℃ , 28℃,无持续风向 1-2级 ,是
2019年04月21日广州天气预报,中雨 /雷阵雨,23℃ , 28℃,无持续风向 1-2级 ,是
2019年04月22日广州天气预报,雷阵雨 /多云,24℃ , 28℃,南风 3-4级 ,是
2019年04月23日广州天气预报,多云 /多云,24℃ , 30℃,无持续风向 1-2级 ,否
2019年04月24日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 1-2级 ,否
2019年04月25日广州天气预报,雷阵雨 /雷阵雨,22℃ , 31℃,无持续风向 1-2级 ,是
2019年04月26日广州天气预报,中雨 /中雨,24℃ , 29℃,无持续风向 1-2级 ,是
2019年04月27日广州天气预报,中到大雨 /雷阵雨,22℃ , 27℃,无持续风向 1-2级 ,是
2019年04月28日广州天气预报,雷阵雨 /雷阵雨,23℃ , 28℃,无持续风向 1-2级 ,是
2019年04月29日广州天气预报,多云 /多云,22℃ , 30℃,无持续风向 1-2级 ,否
2019年04月30日广州天气预报,大到暴雨 /中雨,21℃ , 27℃,北风 3-4级 ,是
2019年05月01日广州天气预报,多云 /多云,20℃ , 26℃,无持续风向 1-2级 ,否
2019年05月02日广州天气预报,阵雨 /多云,18℃ , 24℃,无持续风向 1-2级 ,否
2019年05月03日广州天气预报,多云 /雷阵雨,20℃ , 25℃,无持续风向 1-2级 ,是
2019年05月04日广州天气预报,阵雨 /阵雨,20℃ , 26℃,无持续风向 1-2级 ,否
2019年05月05日广州天气预报,大到暴雨 /大到暴雨,18℃ , 23℃,无持续风向 1-2级 ,是
2019年05月06日广州天气预报,中雨 /中雨,19℃ , 23℃,无持续风向 1-2级 ,是
2019年05月07日广州天气预报,小到中雨 /中雨,19℃ , 23℃,无持续风向 1-2级 ,是
2019年05月08日广州天气预报,中到大雨 /中雨,19℃ , 20℃,无持续风向 1-2级 ,是
2019年05月09日广州天气预报,阴 /多云,20℃ , 26℃,无持续风向 1-2级 ,否
2019年05月10日广州天气预报,多云 /多云,22℃ , 28℃,无持续风向 1-2级 ,否
2019年05月11日广州天气预报,多云 /多云,23℃ , 30℃,无持续风向 1-2级 ,否
2019年05月12日广州天气预报,多云 /多云,23℃ , 31℃,无持续风向 1-2级 ,否
2019年05月13日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 1-2级 ,否
2019年05月14日广州天气预报,多云 /雷阵雨,26℃ , 32℃,无持续风向 1-2级 ,是
2019年05月15日广州天气预报,雷阵雨 /雷阵雨,26℃ , 32℃,无持续风向 1-2级 ,是
2019年05月16日广州天气预报,雷阵雨 /多云,26℃ , 33℃,无持续风向 1-2级 ,是
2019年05月17日广州天气预报,雷阵雨 /雷阵雨,27℃ , 33℃,无持续风向 1-2级 ,是
2019年05月18日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,无持续风向 1-2级 ,是
2019年05月19日广州天气预报,雷阵雨 /大雨,24℃ , 35℃,无持续风向 1-2级 ,是
2019年05月20日广州天气预报,中雨 /阴,23℃ , 29℃,北风 3-4级 ,是
2019年05月21日广州天气预报,多云 /阵雨,24℃ , 31℃,无持续风向 1-2级 ,否
2019年05月22日广州天气预报,中雨 /中雨,25℃ , 30℃,无持续风向 1-2级 ,是
2019年05月23日广州天气预报,中雨 /中到大雨,24℃ , 29℃,无持续风向 1-2级 ,是
2019年05月24日广州天气预报,中雨 /雷阵雨,24℃ , 28℃,无持续风向 1-2级 ,是
2019年05月25日广州天气预报,中到大雨 /中雨,24℃ , 29℃,无持续风向 1-2级 ,是
2019年05月26日广州天气预报,中雨 /雷阵雨,24℃ , 29℃,无持续风向 1-2级 ,是
2019年05月27日广州天气预报,大到暴雨 /大到暴雨,23℃ , 28℃,无持续风向 1-2级 ,是
2019年05月28日广州天气预报,大到暴雨 /大到暴雨,23℃ , 27℃,无持续风向 1-2级 ,是
2019年05月29日广州天气预报,大雨 /中到大雨,24℃ , 28℃,无持续风向 1-2级 ,是
2019年05月30日广州天气预报,中到大雨 /中到大雨,24℃ , 27℃,无持续风向 1-2级 ,是
2019年05月31日广州天气预报,中雨 /中雨,24℃ , 28℃,无持续风向 1-2级 ,是
2019年06月01日广州天气预报,中雨 /大雨,25℃ , 30℃,无持续风向 1-2级 ,是
2019年06月02日广州天气预报,中到大雨 /中雨,25℃ , 30℃,无持续风向 1-2级 ,是
2019年06月03日广州天气预报,中雨 /中雨,26℃ , 31℃,无持续风向 1-2级 ,是
2019年06月04日广州天气预报,中雨 /中雨,26℃ , 32℃,无持续风向 1-2级 ,是
2019年06月05日广州天气预报,中雨 /雷阵雨,26℃ , 32℃,无持续风向 1-2级 ,是
2019年06月06日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 1-2级 ,是
2019年06月07日广州天气预报,雷阵雨 /多云,28℃ , 34℃,无持续风向 1-2级 ,是
2019年06月08日广州天气预报,雷阵雨 /多云,28℃ , 35℃,无持续风向 1-2级 ,是
2019年06月09日广州天气预报,雷阵雨 /雷阵雨,26℃ , 35℃,西南风 4-5级 ,是
2019年06月10日广州天气预报,中到大雨 /暴雨,24℃ , 33℃,无持续风向 1-2级 ,是
2019年06月11日广州天气预报,中到大雨 /大雨,24℃ , 28℃,西南风 3-4级 ,是
2019年06月12日广州天气预报,大雨 /暴雨,24℃ , 29℃,无持续风向 1-2级 ,是
2019年06月13日广州天气预报,暴雨 /阵雨,24℃ , 29℃,无持续风向 1-2级 ,是
2019年06月14日广州天气预报,晴 /晴,25℃ , 33℃,无持续风向 1-2级 ,否
2019年06月15日广州天气预报,晴 /雷阵雨,26℃ , 34℃,无持续风向 1-2级 ,是
2019年06月16日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,东南风 3-4级 ,是
2019年06月17日广州天气预报,雷阵雨 /多云,26℃ , 32℃,东南风 3-4级 ,是
2019年06月18日广州天气预报,中雨 /多云,27℃ , 32℃,东南风 3-4级 ,是
2019年06月19日广州天气预报,多云 /多云,27℃ , 34℃,南风 3-4级 ,否
2019年06月20日广州天气预报,雷阵雨 /多云,28℃ , 34℃,无持续风向 1-2级 ,是
2019年06月21日广州天气预报,雷阵雨 /多云,28℃ , 35℃,无持续风向 1-2级 ,是
2019年06月22日广州天气预报,多云 /雷阵雨,28℃ , 35℃,无持续风向 1-2级 ,是
2019年06月23日广州天气预报,中到大雨 /中到大雨,26℃ , 33℃,无持续风向 1-2级 ,是
2019年06月24日广州天气预报,暴雨 /大到暴雨,26℃ , 31℃,无持续风向 1-2级 ,是
2019年06月25日广州天气预报,大雨 /雷阵雨,25℃ , 28℃,无持续风向 1-2级 ,是
2019年06月26日广州天气预报,中雨 /雷阵雨,25℃ , 28℃,无持续风向 1-2级 ,是
2019年06月27日广州天气预报,雷阵雨 /多云,27℃ , 32℃,无持续风向 1-2级 ,是
2019年06月28日广州天气预报,雷阵雨 /多云,28℃ , 35℃,无持续风向 1-2级 ,是
2019年06月29日广州天气预报,雷阵雨 /多云,28℃ , 35℃,无持续风向 1-2级 ,是
2019年06月30日广州天气预报,雷阵雨 /阴,28℃ , 35℃,无持续风向 1-2级 ,是
2019年07月01日广州天气预报,雷阵雨 /中雨,27℃ , 34℃,无持续风向 1-2级 ,是
2019年07月02日广州天气预报,中雨 /大雨,26℃ , 34℃,无持续风向 1-2级 ,是
2019年07月03日广州天气预报,大雨 /大雨,25℃ , 30℃,东南风 3-4级 ,是
2019年07月04日广州天气预报,中雨 /雷阵雨,26℃ , 32℃,无持续风向 1-2级 ,是
2019年07月05日广州天气预报,雷阵雨 /多云,28℃ , 34℃,无持续风向 1-2级 ,是
2019年07月06日广州天气预报,雷阵雨 /雷阵雨,28℃ , 35℃,无持续风向 1-2级 ,是
2019年07月07日广州天气预报,雷阵雨 /多云,28℃ , 35℃,无持续风向 1-2级 ,是
2019年07月08日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 1-2级 ,否
2019年07月09日广州天气预报,雷阵雨 /大雨,27℃ , 34℃,无持续风向 1-2级 ,是
2019年07月10日广州天气预报,大雨 /大雨,25℃ , 28℃,无持续风向 1-2级 ,是
2019年07月11日广州天气预报,雷阵雨 /雷阵雨,26℃ , 31℃,无持续风向 1-2级 ,是
2019年07月12日广州天气预报,雷阵雨 /阵雨,27℃ , 33℃,无持续风向 1-2级 ,是
2019年07月13日广州天气预报,雷阵雨 /多云,28℃ , 33℃,无持续风向 1-2级 ,是
2019年07月14日广州天气预报,雷阵雨 /雷阵雨,28℃ , 34℃,无持续风向 1-2级 ,是
2019年07月15日广州天气预报,多云 /多云,27℃ , 34℃,无持续风向 1-2级 ,否
2019年07月16日广州天气预报,晴 /晴,27℃ , 35℃,无持续风向 1-2级 ,否
2019年07月17日广州天气预报,晴 /多云,28℃ , 36℃,无持续风向 1-2级 ,否
2019年07月18日广州天气预报,多云 /雷阵雨,28℃ , 37℃,无持续风向 1-2级 ,是
2019年07月19日广州天气预报,中雨 /雷阵雨,28℃ , 36℃,无持续风向 1-2级 ,是
2019年07月20日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 1-2级 ,是
2019年07月21日广州天气预报,雷阵雨 /多云,26℃ , 34℃,无持续风向 1-2级 ,是
2019年07月22日广州天气预报,雷阵雨 /多云,26℃ , 33℃,无持续风向 1-2级 ,是
2019年07月23日广州天气预报,中雨 /雷阵雨,26℃ , 33℃,无持续风向 1-2级 ,是
2019年07月24日广州天气预报,雷阵雨 /多云,26℃ , 33℃,无持续风向 1-2级 ,是
2019年07月25日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 1-2级 ,是
2019年07月26日广州天气预报,雷阵雨 /多云,27℃ , 35℃,无持续风向 1-2级 ,是
2019年07月27日广州天气预报,多云 /多云,28℃ , 35℃,无持续风向 1-2级 ,否
2019年07月28日广州天气预报,雷阵雨 /雷阵雨,27℃ , 34℃,无持续风向 1-2级 ,是
2019年07月29日广州天气预报,雷阵雨 /雷阵雨,27℃ , 34℃,无持续风向 1-2级 ,是
2019年07月30日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,东风 3-4级 ,是
2019年07月31日广州天气预报,大到暴雨 /暴雨,25℃ , 31℃,东风 4-5级 ,是
2019年08月01日广州天气预报,大到暴雨 /大雨,25℃ , 28℃,东风 4-5级 ,是
2019年08月02日广州天气预报,大雨 /中雨,25℃ , 28℃,东南风 3-4级 ,是
2019年08月03日广州天气预报,中雨 /雷阵雨,25℃ , 30℃,无持续风向 1-2级 ,是
2019年08月04日广州天气预报,雷阵雨 /多云,24℃ , 32℃,无持续风向 1-2级 ,是
2019年08月05日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 1-2级 ,否
2019年08月06日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 1-2级 ,否
2019年08月07日广州天气预报,多云 /多云,28℃ , 36℃,无持续风向 1-2级 ,否
2019年08月08日广州天气预报,多云 /多云,28℃ , 37℃,无持续风向 1-2级 ,否
2019年08月09日广州天气预报,多云 /多云,28℃ , 37℃,无持续风向 1-2级 ,否
2019年08月10日广州天气预报,雷阵雨 /多云,28℃ , 37℃,无持续风向 1-2级 ,是
2019年08月11日广州天气预报,雷阵雨 /中雨,27℃ , 35℃,无持续风向 1-2级 ,是
2019年08月12日广州天气预报,雷阵雨 /雷阵雨,27℃ , 34℃,无持续风向 1-2级 ,是
2019年08月13日广州天气预报,雷阵雨 /雷阵雨,27℃ , 35℃,无持续风向 1-2级 ,是
2019年08月14日广州天气预报,雷阵雨 /雷阵雨,27℃ , 35℃,无持续风向 1-2级 ,是
2019年08月15日广州天气预报,雷阵雨 /中到大雨,26℃ , 35℃,无持续风向 1-2级 ,是
2019年08月16日广州天气预报,中到大雨 /中到大雨,26℃ , 34℃,无持续风向 1-2级 ,是
2019年08月17日广州天气预报,中到大雨 /中到大雨,25℃ , 32℃,无持续风向 1-2级 ,是
2019年08月18日广州天气预报,中雨 /中雨,25℃ , 30℃,无持续风向 1-2级 ,是
2019年08月19日广州天气预报,雷阵雨 /雷阵雨,26℃ , 32℃,无持续风向 1-2级 ,是
2019年08月20日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 1-2级 ,是
2019年08月21日广州天气预报,雷阵雨 /多云,27℃ , 35℃,无持续风向 1-2级 ,是
2019年08月22日广州天气预报,雷阵雨 /雷阵雨,27℃ , 35℃,无持续风向 1-2级 ,是
2019年08月23日广州天气预报,多云 /多云,28℃ , 36℃,无持续风向 1-2级 ,否
2019年08月24日广州天气预报,多云 /多云,26℃ , 36℃,无持续风向 1-2级 ,否
2019年08月25日广州天气预报,大到暴雨 /大到暴雨,26℃ , 31℃,北风 4-5级 ,是
2019年08月26日广州天气预报,大雨 /阵雨,25℃ , 31℃,无持续风向 1-2级 ,是
2019年08月27日广州天气预报,雷阵雨 /多云,26℃ , 33℃,无持续风向 1-2级 ,是
2019年08月28日广州天气预报,多云 /雷阵雨,26℃ , 35℃,无持续风向 1-2级 ,是
2019年08月29日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 1-2级 ,是
2019年08月30日广州天气预报,中雨 /中雨,26℃ , 33℃,无持续风向 1-2级 ,是
2019年08月31日广州天气预报,雷阵雨 /雷阵雨,26℃ , 32℃,无持续风向 1-2级 ,是
2019年09月01日广州天气预报,雷阵雨 /中雨,26℃ , 32℃,东北风 3-4级 ,是
2019年09月02日广州天气预报,中雨 /雷阵雨,25℃ , 32℃,东北风 3-4级 ,是
2019年09月03日广州天气预报,雷阵雨 /多云,24℃ , 32℃,东北风 3-4级 ,是
2019年09月04日广州天气预报,雷阵雨 /大雨,25℃ , 31℃,东风 3-4级 ,是
2019年09月05日广州天气预报,雷阵雨 /雷阵雨,25℃ , 32℃,无持续风向 1-2级 ,是
2019年09月06日广州天气预报,多云 /多云,26℃ , 33℃,无持续风向 1-2级 ,否
2019年09月07日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 1-2级 ,否
2019年09月08日广州天气预报,多云 /多云,28℃ , 36℃,无持续风向 1-2级 ,否
2019年09月09日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 1-2级 ,是
2019年09月10日广州天气预报,雷阵雨 /多云,27℃ , 35℃,无持续风向 1-2级 ,是
2019年09月11日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 1-2级 ,否
2019年09月12日广州天气预报,多云 /多云,27℃ , 36℃,无持续风向 1-2级 ,否
2019年09月13日广州天气预报,多云 /多云,28℃ , 36℃,无持续风向 1-2级 ,否
2019年09月14日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 1-2级 ,否
2019年09月15日广州天气预报,雷阵雨 /雷阵雨,27℃ , 33℃,无持续风向 1-2级 ,是
2019年09月16日广州天气预报,雷阵雨 /雷阵雨,25℃ , 33℃,无持续风向 1-2级 ,是
2019年09月17日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 1-2级 ,是
2019年09月18日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 1-2级 ,否
2019年09月19日广州天气预报,晴 /晴,25℃ , 34℃,无持续风向 1-2级 ,否
2019年09月20日广州天气预报,晴 /晴,23℃ , 33℃,北风 3-4级 ,否
2019年09月21日广州天气预报,晴 /晴,23℃ , 33℃,无持续风向 1-2级 ,否
2019年09月22日广州天气预报,晴 /晴,22℃ , 31℃,无持续风向 1-2级 ,否
2019年09月23日广州天气预报,晴 /晴,21℃ , 31℃,北风 3-4级 ,否
2019年09月24日广州天气预报,晴 /晴,21℃ , 31℃,无持续风向 1-2级 ,否
2019年09月25日广州天气预报,晴 /晴,22℃ , 32℃,无持续风向 1-2级 ,否
2019年09月26日广州天气预报,多云 /晴,22℃ , 32℃,无持续风向 1-2级 ,否
2019年09月27日广州天气预报,多云 /多云,23℃ , 32℃,无持续风向 1-2级 ,否
2019年09月28日广州天气预报,多云 /多云,23℃ , 33℃,无持续风向 1-2级 ,否
2019年09月29日广州天气预报,晴 /晴,24℃ , 33℃,无持续风向 1-2级 ,否
2019年09月30日广州天气预报,晴 /晴,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月01日广州天气预报,晴 /晴,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月02日广州天气预报,晴 /晴,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月03日广州天气预报,晴 /晴,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月04日广州天气预报,晴 /晴,25℃ , 34℃,无持续风向 1-2级 ,否
2019年10月05日广州天气预报,晴 /多云,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月06日广州天气预报,雷阵雨 /雷阵雨,25℃ , 33℃,无持续风向 1-2级 ,是
2019年10月07日广州天气预报,阵雨 /多云,24℃ , 31℃,东风 3-4级 ,否
2019年10月08日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 1-2级 ,否
2019年10月09日广州天气预报,多云 /晴,24℃ , 31℃,无持续风向 1-2级 ,否
2019年10月10日广州天气预报,多云 /晴,23℃ , 33℃,无持续风向 1-2级 ,否
2019年10月11日广州天气预报,晴 /多云,24℃ , 33℃,无持续风向 1-2级 ,否
2019年10月12日广州天气预报,雷阵雨 /中雨,24℃ , 33℃,无持续风向 1-2级 ,是
2019年10月13日广州天气预报,雷阵雨 /阵雨,22℃ , 30℃,无持续风向 1-2级 ,是
2019年10月14日广州天气预报,阵雨 /阴,22℃ , 29℃,东北风 1-2级 ,否
2019年10月15日广州天气预报,多云 /晴,21℃ , 30℃,无持续风向 1-2级 ,否
2019年10月16日广州天气预报,晴 /晴,20℃ , 30℃,无持续风向 1-2级 ,否
2019年10月17日广州天气预报,晴 /晴,21℃ , 30℃,北风 3-4级 ,否
2019年10月18日广州天气预报,晴 /晴,20℃ , 30℃,北风 3-4级 ,否
2019年10月19日广州天气预报,晴 /晴,21℃ , 30℃,无持续风向 1-2级 ,否
2019年10月20日广州天气预报,晴 /晴,20℃ , 31℃,无持续风向 1-2级 ,否
2019年10月21日广州天气预报,晴 /多云,20℃ , 31℃,无持续风向 1-2级 ,否
2019年10月22日广州天气预报,多云 /多云,21℃ , 31℃,南风 3-4级 ,否
2019年10月23日广州天气预报,阵雨 /阵雨,22℃ , 31℃,无持续风向 1-2级 ,否
2019年10月24日广州天气预报,多云 /多云,21℃ , 29℃,无持续风向 1-2级 ,否
2019年10月25日广州天气预报,多云 /多云,21℃ , 30℃,东南风 1-2级 ,否
2019年10月26日广州天气预报,多云 /多云,22℃ , 30℃,无持续风向 1-2级 ,否
2019年10月27日广州天气预报,多云 /多云,20℃ , 27℃,无持续风向 1-2级 ,否
2019年10月28日广州天气预报,多云 /多云,19℃ , 27℃,无持续风向 1-2级 ,否
2019年10月29日广州天气预报,晴 /晴,16℃ , 26℃,北风 3-4级 ,否
2019年10月30日广州天气预报,多云 /多云,18℃ , 28℃,无持续风向 1-2级 ,否
2019年10月31日广州天气预报,小雨 /多云,20℃ , 26℃,无持续风向 1-2级 ,否
2019年11月01日广州天气预报,多云 /多云,19℃ , 29℃,无持续风向 1-2级 ,否
2019年11月02日广州天气预报,多云 /多云,21℃ , 31℃,无持续风向 1-2级 ,否
2019年11月03日广州天气预报,晴 /晴,20℃ , 30℃,北风 3-4级 ,否
2019年11月04日广州天气预报,晴 /晴,19℃ , 29℃,北风 3-4级 ,否
2019年11月05日广州天气预报,晴 /晴,17℃ , 30℃,无持续风向 1-2级 ,否
2019年11月06日广州天气预报,晴 /多云,19℃ , 29℃,无持续风向 1-2级 ,否
2019年11月07日广州天气预报,晴 /晴,17℃ , 27℃,北风 3-4级 ,否
2019年11月08日广州天气预报,晴 /晴,16℃ , 27℃,东北风 3-4级 ,否
2019年11月09日广州天气预报,晴 /晴,15℃ , 27℃,无持续风向 1-2级 ,否
2019年11月10日广州天气预报,晴 /晴,16℃ , 27℃,无持续风向 1-2级 ,否
2019年11月11日广州天气预报,晴 /晴,18℃ , 28℃,无持续风向 1-2级 ,否
2019年11月12日广州天气预报,晴 /晴,18℃ , 29℃,无持续风向 1-2级 ,否
2019年11月13日广州天气预报,多云 /晴,16℃ , 29℃,北风 3-4级 ,否
2019年11月14日广州天气预报,多云 /晴,14℃ , 25℃,无持续风向 1-2级 ,否
2019年11月15日广州天气预报,晴 /晴,17℃ , 27℃,无持续风向 1-2级 ,否
2019年11月16日广州天气预报,多云 /多云,19℃ , 28℃,无持续风向 1-2级 ,否
2019年11月17日广州天气预报,晴 /多云,17℃ , 29℃,无持续风向 3-4级 ,否
2019年11月18日广州天气预报,多云 /晴,13℃ , 26℃,无持续风向 4-5级 ,否
2019年11月19日广州天气预报,晴 /晴,15℃ , 24℃,北风 3-4级 ,否
2019年11月20日广州天气预报,晴 /晴,16℃ , 25℃,无持续风向 1-2级 ,否
2019年11月21日广州天气预报,晴 /晴,15℃ , 25℃,无持续风向 3-4级 ,否
2019年11月22日广州天气预报,晴 /晴,15℃ , 27℃,无持续风向 1-2级 ,否
2019年11月23日广州天气预报,晴 /晴,16℃ , 29℃,无持续风向 1-2级 ,否
2019年11月24日广州天气预报,晴 /多云,18℃ , 29℃,无持续风向 1-2级 ,否
2019年11月25日广州天气预报,多云 /多云,15℃ , 29℃,北风 4-5级 ,否
2019年11月26日广州天气预报,多云 /多云,18℃ , 25℃,无持续风向 1-2级 ,否
2019年11月27日广州天气预报,多云 /多云,15℃ , 25℃,无持续风向 1-2级 ,否
2019年11月28日广州天气预报,多云 /晴,12℃ , 20℃,东北风 3-4级 ,否
2019年11月29日广州天气预报,多云 /多云,14℃ , 23℃,无持续风向 1-2级 ,否
2019年11月30日广州天气预报,多云 /晴,14℃ , 24℃,北风 1-2级 ,否
2019年12月01日广州天气预报,多云 /多云,12℃ , 26℃,无持续风向 1-2级 ,否
2019年12月02日广州天气预报,多云 /晴,10℃ , 18℃,无持续风向 3-4级 ,否
2019年12月03日广州天气预报,晴 /晴,10℃ , 21℃,北风 3-4级 ,否
